time,open,high,low,close,volume
2026-06-01T00:00:00Z,3320.00,3321.06,3319.65,3320.21,983.15
2026-06-01T00:15:00Z,3320.21,3321.61,3319.02,3320.65,1010.88
2026-06-01T00:30:00Z,3320.65,3321.65,3320.10,3320.77,1102.38
2026-06-01T00:45:00Z,3320.77,3322.38,3319.54,3320.62,1236.33
2026-06-01T01:00:00Z,3320.62,3322.46,3319.84,3321.11,1392.20
2026-06-01T01:15:00Z,3321.11,3323.17,3320.36,3321.43,1326.92
2026-06-01T01:30:00Z,3321.43,3322.95,3320.08,3321.34,1496.12
2026-06-01T01:45:00Z,3321.34,3323.23,3319.90,3321.55,1551.51
2026-06-01T02:00:00Z,3321.55,3323.10,3319.75,3321.48,1580.28
2026-06-01T02:15:00Z,3321.48,3323.04,3320.74,3321.80,1494.10
2026-06-01T02:30:00Z,3321.80,3323.81,3320.18,3322.53,1539.67
2026-06-01T02:45:00Z,3322.53,3324.39,3321.98,3322.85,1635.96
2026-06-01T03:00:00Z,3322.85,3323.92,3321.41,3323.22,1689.78
2026-06-01T03:15:00Z,3323.22,3325.01,3321.46,3323.56,1566.37
2026-06-01T03:30:00Z,3323.56,3325.17,3322.58,3324.43,1600.02
2026-06-01T03:45:00Z,3324.43,3325.63,3323.91,3324.46,1690.40
2026-06-01T04:00:00Z,3324.46,3326.81,3323.85,3325.28,1582.80
2026-06-01T04:15:00Z,3325.28,3327.14,3323.49,3326.04,1604.40
2026-06-01T04:30:00Z,3326.04,3327.46,3325.56,3326.53,1609.44
2026-06-01T04:45:00Z,3326.53,3327.86,3324.74,3326.96,1627.30
2026-06-01T05:00:00Z,3326.96,3327.45,3326.48,3327.09,1453.22
2026-06-01T05:15:00Z,3327.09,3327.59,3325.61,3327.15,1444.10
2026-06-01T05:30:00Z,3327.15,3328.34,3326.15,3327.41,1399.30
2026-06-01T05:45:00Z,3327.41,3328.99,3326.64,3327.81,1380.42
2026-06-01T06:00:00Z,3327.81,3328.50,3326.98,3327.85,1278.47
2026-06-01T06:15:00Z,3327.85,3329.12,3326.50,3328.03,1270.35
2026-06-01T06:30:00Z,3328.03,3328.39,3327.39,3328.02,1106.07
2026-06-01T06:45:00Z,3328.02,3330.15,3327.39,3328.60,1184.65
2026-06-01T07:00:00Z,3328.60,3330.52,3327.43,3329.23,1000.75
2026-06-01T07:15:00Z,3329.23,3330.35,3328.37,3329.62,1114.93
2026-06-01T07:30:00Z,3329.62,3331.35,3328.81,3329.67,1049.70
2026-06-01T07:45:00Z,3329.67,3330.77,3328.71,3330.03,1226.41
2026-06-01T08:00:00Z,3330.03,3330.66,3328.68,3330.00,1381.24
2026-06-01T08:15:00Z,3330.00,3330.51,3329.35,3329.88,1250.58
2026-06-01T08:30:00Z,3329.88,3331.14,3328.63,3329.71,1352.36
2026-06-01T08:45:00Z,3329.71,3330.78,3328.88,3329.83,1522.45
2026-06-01T09:00:00Z,3329.83,3330.71,3328.68,3329.70,1419.53
2026-06-01T09:15:00Z,3329.70,3330.51,3328.35,3329.87,1459.16
2026-06-01T09:30:00Z,3329.87,3330.42,3329.38,3329.84,1613.86
2026-06-01T09:45:00Z,3329.84,3331.40,3328.75,3329.82,1507.62
2026-06-01T10:00:00Z,3329.82,3331.68,3328.32,3329.92,1747.32
2026-06-01T10:15:00Z,3329.92,3330.44,3329.32,3329.85,1709.84
2026-06-01T10:30:00Z,3329.85,3330.95,3329.38,3330.46,1670.72
2026-06-01T10:45:00Z,3330.46,3331.47,3329.51,3330.55,1780.10
2026-06-01T11:00:00Z,3330.55,3332.04,3329.92,3330.62,1672.02
2026-06-01T11:15:00Z,3330.62,3331.33,3328.90,3330.92,1685.48
2026-06-01T11:30:00Z,3330.92,3333.05,3329.66,3331.32,1520.34
2026-06-01T11:45:00Z,3331.32,3332.21,3329.54,3331.54,1688.30
2026-06-01T12:00:00Z,3331.54,3333.66,3330.47,3332.11,1446.48
2026-06-01T12:15:00Z,3332.11,3334.46,3330.43,3332.95,1565.79
2026-06-01T12:30:00Z,3332.95,3334.49,3332.44,3333.28,1560.07
2026-06-01T12:45:00Z,3333.28,3334.71,3332.06,3334.03,1331.68
2026-06-01T13:00:00Z,3334.03,3335.67,3333.24,3334.40,1327.22
2026-06-01T13:15:00Z,3334.40,3336.91,3332.92,3335.28,1355.88
2026-06-01T13:30:00Z,3335.28,3336.78,3334.04,3335.57,1308.56
2026-06-01T13:45:00Z,3335.57,3337.10,3334.28,3335.68,1140.67
2026-06-01T14:00:00Z,3335.68,3337.39,3334.18,3336.19,1044.21
2026-06-01T14:15:00Z,3336.19,3337.75,3334.52,3336.91,1079.91
2026-06-01T14:30:00Z,3336.91,3338.64,3335.27,3337.80,1115.98
2026-06-01T14:45:00Z,3337.80,3340.31,3337.28,3338.78,1188.63
2026-06-01T15:00:00Z,3338.78,3339.97,3338.00,3339.27,1156.88
2026-06-01T15:15:00Z,3339.27,3340.85,3337.64,3340.28,1383.58
2026-06-01T15:30:00Z,3340.28,3341.45,3338.72,3340.67,1369.14
2026-06-01T15:45:00Z,3340.67,3341.93,3339.43,3340.92,1327.08
2026-06-01T16:00:00Z,3340.92,3342.19,3339.78,3341.60,1567.94
2026-06-01T16:15:00Z,3341.60,3343.14,3340.08,3342.42,1525.27
2026-06-01T16:30:00Z,3342.42,3344.01,3341.54,3342.87,1582.87
2026-06-01T16:45:00Z,3342.87,3345.30,3342.05,3343.80,1513.97
2026-06-01T17:00:00Z,3343.80,3344.93,3342.64,3344.54,1665.94
2026-06-01T17:15:00Z,3344.54,3346.80,3343.05,3345.43,1668.99
2026-06-01T17:30:00Z,3345.43,3346.87,3343.68,3345.85,1552.96
2026-06-01T17:45:00Z,3345.85,3347.11,3344.87,3346.47,1664.82
2026-06-01T18:00:00Z,3346.47,3347.08,3345.19,3346.55,1776.26
2026-06-01T18:15:00Z,3346.55,3347.32,3345.40,3346.60,1630.78
2026-06-01T18:30:00Z,3346.60,3348.02,3345.35,3346.67,1594.18
2026-06-01T18:45:00Z,3346.67,3347.94,3345.83,3347.04,1552.49
2026-06-01T19:00:00Z,3347.04,3348.59,3346.61,3347.00,1567.44
2026-06-01T19:15:00Z,3347.00,3348.66,3346.40,3347.48,1528.91
2026-06-01T19:30:00Z,3347.48,3349.00,3346.22,3347.95,1410.58
2026-06-01T19:45:00Z,3347.95,3349.72,3347.01,3347.99,1466.24
2026-06-01T20:00:00Z,3347.99,3348.81,3346.22,3348.44,1384.34
2026-06-01T20:15:00Z,3348.44,3349.59,3346.87,3348.33,1214.59
2026-06-01T20:30:00Z,3348.33,3348.87,3347.67,3348.05,1235.10
2026-06-01T20:45:00Z,3348.05,3349.15,3346.54,3348.61,1211.02
2026-06-01T21:00:00Z,3348.61,3350.33,3347.04,3348.26,1016.64
2026-06-01T21:15:00Z,3348.26,3350.32,3347.34,3348.77,1101.73
2026-06-01T21:30:00Z,3348.77,3349.89,3347.98,3348.95,1075.05
2026-06-01T21:45:00Z,3348.95,3351.00,3347.49,3349.35,1141.05
2026-06-01T22:00:00Z,3349.35,3349.91,3348.04,3349.29,1360.54
2026-06-01T22:15:00Z,3349.29,3350.77,3348.55,3349.45,1283.75
2026-06-01T22:30:00Z,3349.45,3350.01,3347.93,3349.58,1370.42
2026-06-01T22:45:00Z,3349.58,3350.71,3348.00,3349.50,1482.22
2026-06-01T23:00:00Z,3349.50,3350.18,3347.85,3349.67,1477.51
2026-06-01T23:15:00Z,3349.67,3350.36,3348.83,3349.68,1590.25
2026-06-01T23:30:00Z,3349.68,3350.46,3349.14,3349.79,1459.10
2026-06-01T23:45:00Z,3349.79,3351.55,3347.97,3349.42,1672.24
2026-06-02T00:00:00Z,3349.42,3350.81,3348.29,3349.03,1689.07
2026-06-02T00:15:00Z,3349.03,3350.71,3347.79,3349.35,1636.87
2026-06-02T00:30:00Z,3349.35,3350.29,3348.42,3349.53,1586.73
2026-06-02T00:45:00Z,3349.53,3349.94,3347.64,3349.35,1576.64
2026-06-02T01:00:00Z,3349.35,3350.70,3347.92,3349.63,1653.38
2026-06-02T01:15:00Z,3349.63,3350.36,3348.36,3349.97,1629.55
2026-06-02T01:30:00Z,3349.97,3350.94,3348.53,3350.12,1620.33
2026-06-02T01:45:00Z,3350.12,3352.01,3349.23,3350.54,1517.87
2026-06-02T02:00:00Z,3350.54,3351.61,3349.53,3350.83,1495.46
2026-06-02T02:15:00Z,3350.83,3352.91,3349.80,3351.30,1427.12
2026-06-02T02:30:00Z,3351.30,3352.94,3349.68,3351.35,1568.32
2026-06-02T02:45:00Z,3351.35,3353.05,3350.27,3351.42,1342.99
2026-06-02T03:00:00Z,3351.42,3351.91,3350.22,3351.31,1421.42
2026-06-02T03:15:00Z,3351.31,3352.47,3349.67,3351.10,1374.65
2026-06-02T03:30:00Z,3351.10,3352.15,3349.59,3351.34,1258.77
2026-06-02T03:45:00Z,3351.34,3352.71,3350.40,3351.78,1184.51
2026-06-02T04:00:00Z,3351.78,3352.57,3350.14,3352.04,1035.31
2026-06-02T04:15:00Z,3352.04,3353.07,3351.05,3351.87,958.99
2026-06-02T04:30:00Z,3351.87,3353.78,3351.00,3352.03,1101.13
2026-06-02T04:45:00Z,3352.03,3353.34,3350.53,3351.90,1103.45
2026-06-02T05:00:00Z,3351.90,3353.05,3350.35,3352.23,1325.59
2026-06-02T05:15:00Z,3352.23,3353.92,3351.10,3352.67,1212.83
2026-06-02T05:30:00Z,3352.67,3353.21,3350.94,3352.83,1440.06
2026-06-02T05:45:00Z,3352.83,3353.52,3351.57,3353.10,1430.60
2026-06-02T06:00:00Z,3353.10,3353.60,3352.48,3352.87,1386.75
2026-06-02T06:15:00Z,3352.87,3353.52,3352.21,3352.94,1589.93
2026-06-02T06:30:00Z,3352.94,3354.22,3352.00,3353.06,1573.58
2026-06-02T06:45:00Z,3353.06,3354.66,3351.79,3353.11,1505.04
2026-06-02T07:00:00Z,3353.11,3353.98,3352.13,3353.18,1723.74
2026-06-02T07:15:00Z,3353.18,3354.86,3351.75,3353.21,1671.62
2026-06-02T07:30:00Z,3353.21,3354.97,3351.61,3352.81,1657.05
2026-06-02T07:45:00Z,3352.81,3354.29,3351.61,3352.92,1674.24
2026-06-02T08:00:00Z,3352.92,3354.20,3350.92,3352.69,1595.01
2026-06-02T08:15:00Z,3352.69,3353.83,3351.72,3352.80,1747.38
2026-06-02T08:30:00Z,3352.80,3353.72,3351.11,3352.21,1734.40
2026-06-02T08:45:00Z,3352.21,3353.33,3351.54,3352.14,1505.69
2026-06-02T09:00:00Z,3352.14,3352.69,3350.32,3351.93,1500.40
2026-06-02T09:15:00Z,3351.93,3352.93,3351.52,3351.88,1656.31
2026-06-02T09:30:00Z,3351.88,3353.12,3350.57,3352.01,1533.83
2026-06-02T09:45:00Z,3352.01,3353.19,3349.97,3351.72,1416.86
2026-06-02T10:00:00Z,3351.72,3352.68,3350.72,3351.43,1373.61
2026-06-02T10:15:00Z,3351.43,3352.11,3349.58,3350.76,1439.73
2026-06-02T10:30:00Z,3350.76,3351.85,3350.02,3350.56,1353.02
2026-06-02T10:45:00Z,3350.56,3352.02,3349.15,3350.51,1303.24
2026-06-02T11:00:00Z,3350.51,3351.82,3348.20,3349.84,1058.33
2026-06-02T11:15:00Z,3349.84,3351.63,3347.82,3349.60,1105.37
2026-06-02T11:30:00Z,3349.60,3351.34,3347.37,3349.04,1111.05
2026-06-02T11:45:00Z,3349.04,3350.71,3348.06,3348.84,1212.52
2026-06-02T12:00:00Z,3348.84,3349.47,3347.28,3348.29,1099.15
2026-06-02T12:15:00Z,3348.29,3349.48,3346.32,3347.74,1226.57
2026-06-02T12:30:00Z,3347.74,3348.58,3346.14,3347.32,1412.36
2026-06-02T12:45:00Z,3347.32,3349.14,3346.58,3347.40,1442.75
2026-06-02T13:00:00Z,3347.40,3349.12,3346.40,3347.26,1519.01
2026-06-02T13:15:00Z,3347.26,3349.09,3345.73,3347.36,1510.68
2026-06-02T13:30:00Z,3347.36,3347.89,3346.26,3347.41,1435.30
2026-06-02T13:45:00Z,3347.41,3348.83,3345.77,3347.37,1471.63
2026-06-02T14:00:00Z,3347.37,3348.18,3345.58,3347.45,1520.23
2026-06-02T14:15:00Z,3347.45,3349.29,3346.26,3347.63,1655.99
2026-06-02T14:30:00Z,3347.63,3349.47,3346.54,3347.96,1573.64
2026-06-02T14:45:00Z,3347.96,3349.22,3346.96,3348.00,1622.32
2026-06-02T15:00:00Z,3348.00,3349.74,3347.03,3347.64,1580.10
2026-06-02T15:15:00Z,3347.64,3348.34,3346.31,3347.15,1550.84
2026-06-02T15:30:00Z,3347.15,3348.14,3345.93,3346.73,1761.70
2026-06-02T15:45:00Z,3346.73,3348.08,3345.63,3346.78,1594.40
2026-06-02T16:00:00Z,3346.78,3347.90,3346.24,3346.77,1498.40
2026-06-02T16:15:00Z,3346.77,3348.07,3345.19,3347.05,1455.89
2026-06-02T16:30:00Z,3347.05,3348.05,3346.68,3347.12,1462.73
